City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint george,37.1041,-113.5841,2.33,55,75,2.57,US,1674416052
1,charlestown,-32.95,151.6667,18.18,93,92,1.34,AU,1674415812
2,altay,47.8667,88.1167,-24.53,50,1,3.18,CN,1674416053
3,fortuna,40.5982,-124.1573,10.55,65,0,5.66,US,1674415594
4,bredasdorp,-34.5322,20.0403,19.56,75,11,3.28,ZA,1674416054
5,albany,42.6001,-73.9662,1.79,74,100,0.45,US,1674416043
6,mataura,-46.1927,168.8643,11.58,56,74,2.05,NZ,1674416056
7,najran,17.4924,44.1277,17.36,26,6,1.89,SA,1674415993
8,atuona,-9.8,-139.0333,26.08,72,81,9.84,PF,1674416056
9,ushuaia,-54.8,-68.3,14.81,41,0,7.2,AR,1674416057
10,puerto ayora,-0.7393,-90.3518,27.98,89,63,2.68,EC,1674416057
11,saskylakh,71.9167,114.0833,-33.99,85,100,1.03,RU,1674416058
12,hirara,24.8,125.2833,20.98,84,99,3.14,JP,1674416058
13,punta arenas,-53.15,-70.9167,17.06,27,0,7.72,CL,1674415820
14,sao filipe,14.8961,-24.4956,20.95,64,0,6.59,CV,1674416059
15,samarkand,39.6542,66.9597,-7.32,93,74,0.0,UZ,1674416059
16,hobart,-42.8794,147.3294,14.04,92,20,1.54,AU,1674416060
17,senno,59.5336,33.9167,-6.52,97,65,1.55,RU,1674416060
18,saint-philippe,-21.3585,55.7679,23.77,84,100,3.87,RE,1674416061
19,bairiki,1.3292,172.9752,27.0,83,40,3.6,KI,1674416061
20,galveston,29.3669,-94.9669,16.98,49,0,5.66,US,1674416062
21,busselton,-33.65,115.3333,19.28,58,0,3.24,AU,1674416019
22,brae,60.3964,-1.353,8.52,92,100,7.8,GB,1674416062
23,banjar,-8.19,114.9675,23.68,89,100,1.45,ID,1674416063
24,port alfred,-33.5906,26.891,21.21,96,100,1.55,ZA,1674415934
25,vung tau,10.346,107.0843,24.6,86,12,5.88,VN,1674415794
26,oranjemund,-28.55,16.4333,18.02,94,30,4.39,NA,1674416064
27,kruisfontein,-34.0033,24.7314,21.05,90,50,1.98,ZA,1674416065
28,lasa,46.6166,10.7002,-2.51,82,79,1.52,IT,1674416065
29,khromtau,50.2503,58.4347,-11.27,58,31,3.47,KZ,1674416066
30,samana,19.2056,-69.3369,28.12,74,75,6.17,DO,1674416066
31,hilo,19.7297,-155.09,26.82,74,40,3.58,US,1674415813
32,nikolskoye,59.7035,30.7861,-4.06,95,77,1.84,RU,1674416067
33,batagay-alyta,67.8006,130.4114,-31.07,86,99,0.48,RU,1674416067
34,touros,-5.1989,-35.4608,27.59,71,11,5.15,BR,1674416068
35,namibe,-15.1961,12.1522,22.71,79,100,2.05,AO,1674416068
36,port elizabeth,-33.918,25.5701,22.28,96,100,1.54,ZA,1674416069
37,ambilobe,-13.2,49.05,23.01,97,100,1.77,MG,1674416069
38,shelburne,44.0787,-80.2041,-0.69,91,100,1.24,CA,1674416070
39,tonj,7.2737,28.6822,28.07,19,32,1.94,SS,1674416070
40,kroya,-7.6331,109.2461,24.61,90,78,2.33,ID,1674416071
41,chokurdakh,70.6333,147.9167,-41.66,99,62,2.78,RU,1674416011
42,ewa beach,21.3156,-158.0072,26.03,73,0,2.06,US,1674416071
43,fort nelson,58.8053,-122.7002,-9.23,86,20,2.06,CA,1674415839
44,lebu,-37.6167,-73.65,18.44,76,2,5.82,CL,1674416072
45,torbay,47.6666,-52.7314,-1.9,91,100,10.29,CA,1674415839
46,santa rosa,14.3122,121.1114,25.99,86,100,3.57,PH,1674416073
47,mar del plata,-38.0023,-57.5575,27.68,64,20,8.94,AR,1674416073
48,isangel,-19.55,169.2667,27.52,79,74,1.18,VU,1674416052
49,akdepe,42.0551,59.3788,-7.95,48,0,4.87,TM,1674416074
50,oussouye,12.485,-16.5469,20.34,67,0,4.74,SN,1674416075
51,chuy,-33.6971,-53.4616,26.23,52,54,7.05,UY,1674416075
52,rikitea,-23.1203,-134.9692,26.38,75,0,7.92,PF,1674415921
53,zhicheng,30.2956,111.5047,5.89,67,73,1.96,CN,1674416076
54,serebryansk,49.6925,83.2892,-25.87,90,14,3.25,KZ,1674416077
55,cape town,-33.9258,18.4232,21.23,68,20,8.75,ZA,1674415800
56,ust-kishert,57.3654,57.2495,-15.06,97,57,2.86,RU,1674416077
57,henties bay,-22.116,14.2845,19.1,84,93,4.24,NA,1674416079
58,jamestown,42.097,-79.2353,0.57,66,100,0.0,US,1674415928
59,esperance,-33.8667,121.9,16.16,75,10,4.79,AU,1674416079
60,wangaratta,-36.3667,146.3333,12.95,98,6,1.72,AU,1674416080
61,hermanus,-34.4187,19.2345,22.11,72,74,6.12,ZA,1674415926
62,prescot,53.4295,-2.8003,4.57,87,75,3.09,GB,1674416081
